feature,mean_absolute_shap
ctd_temperature,0.1141351270816326
ctd_salinity,0.10849847609133174
ctd_oxygen,0.09031067367016103
depth_m,0.06076961045889582
longitude,0.052899979151723245
latitude,0.04258515353962081
day_of_year,0.018459493713249436
month,0.006104581670523449
year,0.004345038702842679
