feature,importance
ctd_temperature,0.23787241268776194
ctd_salinity,0.20894733704686025
ctd_oxygen,0.1786869027370444
depth_m,0.1411071874978459
longitude,0.09725192725433587
latitude,0.08843341374235436
day_of_year,0.031055834176754872
month,0.00884692965767082
year,0.007798055199371669
