cluster,observations,mean_latitude,mean_longitude,mean_depth,mean_temperature,mean_salinity,mean_oxygen,mean_temperature_gradient,mean_salinity_gradient,mean_oxygen_gradient,mean_temperature_anomaly,mean_salinity_anomaly,mean_oxygen_anomaly
0,55464,-47.393011521893044,26.814723402024327,2037.166298860522,1.9131391587309252,34.591686611208914,210.8166948581642,-0.0018867102195390683,0.0002767976425717775,-0.041875435914564094,-0.7639423750217597,-0.3188882341053784,0.6736806422132021
1,52835,25.299443374279182,89.70101256024334,3610.919239140721,1.6324517363870612,34.672757195613784,140.61355954821474,-0.0001214021974292007,3.6253928772163283e-05,0.022365775465558443,-0.3102492915654456,-0.3644084723719627,-0.6179287460603022
2,38380,25.980237576082096,83.39056745257467,1133.5093277748826,4.509036705034197,34.475736086864984,74.4142950280928,-0.005481563894683064,0.00026373454557040207,-0.03453990188727414,0.07180412024989621,-0.5339484704054132,-1.2711042373719237
3,38342,24.819339832561727,-37.35935508449989,2776.0672369725107,3.755741206231225,34.95894338484173,233.31277639454882,-0.0013785048544943796,-3.928859489163854e-05,0.02221624199223579,0.7834962419322493,0.8069312485888464,1.1260376926111209
4,14873,20.505751138304557,15.8727442782224,452.3511732669939,16.03770736546667,35.77252659847959,188.8893522195188,-0.02914992386635173,-0.0012184591299561273,-0.08397744217121561,1.7032323912565175,1.6097521921366027,0.060059947374780626
