depth_zone,observations,average_temperature,average_salinity,average_oxygen,average_health,average_anomaly
Intermediate,1190505,6.920337287433254,34.74703598406482,150.0570695168375,78.20813448743526,0.7687538354574931
Very Deep,945582,1.5536883301068332,34.73705824982025,189.3365099272037,77.04671863464075,0.8034337470122658
Surface,14073,17.835090848894065,34.632818213585196,247.05273325078866,76.94268567663231,0.8050743637155804
Deep,3443799,2.3870983957954253,34.75407106586852,163.34445197493721,82.54198072623882,0.6579184892466611
Upper Ocean,304924,13.224426539299571,34.871362938411714,234.46290143480647,76.82950064684537,0.7926433001996029
