summary,ctd_temperature,ctd_salinity,ctd_oxygen,depth_m,temperature_gradient,salinity_gradient,oxygen_gradient,temperature_anomaly,salinity_anomaly,oxygen_anomaly
count,5898883,5898883,5735870,5898883,5896517,5896517,5733600,5898883,5898883,5735870
mean,3.765452069631224,34.75569788281996,168.78776150823188,2274.135961723601,-0.004019212598166439,5.917620671274611E-5,-0.01534186305202767,-2.2038608440177973E-15,-2.2718730935989593E-13,-1.1519575946421943E-15
stddev,4.393356654002228,0.49513426848641423,65.41073470486567,1500.1257452911432,0.022099210000066646,0.010128866794550082,0.3833260529682364,0.9999996609526532,0.9999996609526967,0.9999996513169418
min,-2.0559,15.339195450331514,0.3988582323867774,0.0,-4.8187000000000015,-5.864999999999995,-85.61067561134323,-3.465953722773522,-13.575096416117022,-3.6448314763422873
25%,1.5292280160252305,34.6227,128.13,977.0,-0.0019999999999997797,-8.30663654056707E-5,-0.03872798372137254,-0.5408247815896227,-0.49407523528318364,-0.8063253055315927
50%,2.2871276595744683,34.68461777849194,175.46944917659033,2107.0,-4.00000000000178E-4,0.0,0.0,-0.11610760321390518,-0.22288254722310946,0.0876882968408463
75%,3.9122,34.884,217.2,3431.0,0.0,1.0000000000331966E-4,0.06580958641123047,0.46809480369498163,0.3731722544473983,0.7872595680248486
max,31.0224,40.678,506.80888016685725,6905.0,3.4154000000000018,6.017431995169323,117.46916740260608,7.022329527729327,10.643149213633386,4.541627441453975
