year,observations,anomalous_observations,anomaly_percentage
2020,940826,4740,0.5038126072196134
2021,1376498,7127,0.5177631932629034
2022,1139253,46248,4.059502147459783
2023,1364161,14269,1.0459909057655217
2024,481753,117,0.02428630439249989
2025,596392,2467,0.41365410669492547
