cluster,depth_zone,observations,mean_temperature,mean_salinity,mean_oxygen,mean_anomaly_intensity,anomalous_observations,anomaly_rate_percentage
0,Deep,33950,1.4371679807009239,34.673789294383134,199.51180119495774,0.5307917063814699,0,0.0
0,Intermediate,12281,3.361549512677347,34.50821700520127,213.38795473165015,0.7088850203721321,0,0.0
0,Surface,121,6.7057809986860475,33.50307002432834,315.196078227659,1.06784733327712,1,0.8264462809917356
0,Upper Ocean,3632,3.2818788704841273,33.99390870289008,295.2911282726274,0.975070346391116,0,0.0
0,Very Deep,5480,0.6029423779973916,34.690328236689204,216.79889372868607,0.9441021600794062,302,5.510948905109489
1,Deep,33606,1.690969851775605,34.664609731490955,129.85295981953342,0.4115187740100859,0,0.0
1,Intermediate,149,5.315397190261054,34.5984440369791,134.88218041928926,0.294629399288104,0,0.0
1,Surface,2,6.876250000000001,33.256299999999996,305.605,1.0306245450236708,0,0.0
1,Upper Ocean,9,7.6617785043087645,33.807289347078196,240.29342535531987,0.8005910585011639,0,0.0
1,Very Deep,19069,1.4971499273874695,34.68825347045691,159.55779303183078,0.49622586857741807,0,0.0
2,Deep,21238,2.776694362878979,34.55467738476289,68.75526019067019,0.8212927088338463,0,0.0
2,Intermediate,16231,6.241751494001969,34.384231843059716,77.36510610244044,0.716199042241815,0,0.0
2,Surface,42,24.628577358077482,33.42308143896354,217.37826911987926,0.7537672741062403,0,0.0
2,Upper Ocean,869,13.511076078484916,34.30641685979023,150.69447962831921,0.813682594524407,87,10.01150747986191
3,Deep,26316,3.514677833307254,34.962764836960126,234.6174739900243,0.8055898720865275,13,0.04939960480316157
3,Intermediate,3295,8.628520363266409,35.099575133240435,206.4236035573719,0.6037805115996082,0,0.0
3,Surface,17,12.134900000000002,35.25348823529413,266.84529411764703,0.45157340302931614,0,0.0
3,Upper Ocean,321,10.818241340555941,35.2586124733067,250.47752628757897,0.3208478251845149,0,0.0
3,Very Deep,8393,2.311502931100022,34.879693058999536,239.05392557351735,1.40679863712231,103,1.2272131538186584
4,Deep,1924,10.0522841024844,36.75126686334639,181.21070256674648,3.5227798766368883,1368,71.1018711018711
4,Intermediate,7504,13.876946326549117,35.679706425423724,179.8095860770178,1.1677991321423284,521,6.9429637526652455
4,Surface,226,24.85342616621191,35.357764143285586,210.28068353380777,0.7130663127695406,0,0.0
4,Upper Ocean,5219,20.96929440226439,35.56313066513655,203.848893547019,0.7352125629004661,131,2.510059398352175
