cluster,observations,mean_latitude,mean_longitude,mean_depth,minimum_depth,maximum_depth,mean_temperature,std_temperature,minimum_temperature,maximum_temperature,mean_salinity,std_salinity,mean_oxygen,std_oxygen,mean_temperature_gradient,mean_salinity_gradient,mean_oxygen_gradient,mean_abs_temperature_anomaly,mean_abs_salinity_anomaly,mean_abs_oxygen_anomaly,mean_environmental_anomaly,percentage,total_anomalous,anomaly_percentage,dominant_depth_zone,dominant_depth_observations,dominant_year,dominant_year_observations,environmental_pattern
0,55464,-47.393011521893044,26.814723402024327,2037.166298860522,2.0,6058.0,1.9131391587309252,2.230091031316486,-2.0517,29.8575,34.591686611208914,0.26230754371070547,210.8166948581642,36.53707684175819,-0.0018867102195390683,0.0002767976425717775,-0.041875435914564094,0.913560273332809,0.32406295618621167,0.6863566617345203,0.6413266304178421,27.746705754049646,303,0.5463003028991779,Deep,33950,2020,16892,Deep-water pattern
1,52835,25.299443374279182,89.70101256024334,3610.919239140721,6.0,6889.0,1.6324517363870612,0.3453924859885326,0.4174,16.061254455445543,34.672757195613784,0.03410339160995373,140.61355954821474,22.52758357096185,-0.0001214021974292007,3.6253928772163283e-05,0.022365775465558443,0.3318041709692375,0.3652807117556982,0.6284681042948178,0.44185099567325553,26.431508699610795,0,0.0,Deep,33606,2022,18172,Very-deep-water pattern
2,38380,25.980237576082096,83.39056745257467,1133.5093277748826,2.0,2617.0,4.509036705034197,3.0335756798192457,1.6685,30.3557,34.475736086864984,0.25179314781109785,74.4142950280928,41.41133389059323,-0.005481563894683064,0.00026373454557040207,-0.03453990188727414,0.44322987866059554,0.5832319121254251,1.3033445879264012,0.7766021262374704,19.200176093329464,87,0.2266805627931214,Deep,21238,2021,11819,Intermediate-depth pattern
3,38342,24.819339832561727,-37.35935508449989,2776.0672369725107,3.0,6581.0,3.755741206231225,2.0290496857501523,1.208,25.711,34.95894338484173,0.10684858221984528,233.31277639454882,26.378006803351056,-0.0013785048544943796,-3.928859489163854e-05,0.02221624199223579,0.8026696007118879,0.8106408860855144,1.1335954952055984,0.9156353273343419,19.181166017989533,116,0.30254029523759846,Deep,26316,2023,17519,Deep-water pattern
4,14873,20.505751138304557,15.8727442782224,452.3511732669939,2.0,3535.0,16.03770736546667,5.471108401527497,2.6809,30.6472,35.77252659847959,1.1674758523547408,188.8893522195188,35.159657872156345,-0.02914992386635173,-0.0012184591299561273,-0.08397744217121561,1.7079754163468477,1.72880710462221,0.504430520658494,1.313737680542513,7.440443435020561,2020,13.581658038055537,Intermediate,7504,2022,4108,Shallow warm-water pattern
